Epic Title,Epic URL,Product Area,Flow Labels,Issue Title,Issue URL,Demo Milestone?
"Standalone","","Resources","flow:view-resources","Research Bookstack or similar for resource page editing","https://github.com/CivicTechWR/affordable-housing-portal/issues/117","Yes"
"Standalone","","User Management","flow:manage-users","Remove ability for the public to create an account","https://github.com/CivicTechWR/affordable-housing-portal/issues/13","Yes"
"Standalone","","User Management","flow:manage-users","Remove sign up button from public page","https://github.com/CivicTechWR/affordable-housing-portal/issues/85","Yes"
"Standalone","","User Management","flow:manage-users","Enable admin to control who can be a housing searcher","https://github.com/CivicTechWR/affordable-housing-portal/issues/19","Yes"
"Standalone","","User Management","flow:manage-users","Housing Searcher Access: Invite/approval workflow in partners user management","https://github.com/CivicTechWR/affordable-housing-portal/issues/68","Yes"
"Standalone","","User Management","flow:manage-users","Admin can invite social workers to browse listings","https://github.com/CivicTechWR/affordable-housing-portal/issues/118","Yes"
"Standalone","","User Management","flow:manage-users","Provide permissions for partners to create listings","https://github.com/CivicTechWR/affordable-housing-portal/issues/119","Yes"
"Standalone","","Foundation","flow:configure-portal","Update region name from Bloomington To Waterloo Region","https://github.com/CivicTechWR/affordable-housing-portal/issues/93","Yes"
"Standalone","","Foundation","flow:configure-portal","Replace example.com placeholders once official domain is available","https://github.com/CivicTechWR/affordable-housing-portal/issues/89","Yes"
"Standalone","","Foundation","flow:configure-portal","Verify and Document Listing Close/Reopen Code Path (No Hard Deletes)","https://github.com/CivicTechWR/affordable-housing-portal/issues/97","Yes"
"Standalone","","Foundation","flow:configure-portal","Remove Bloom-specific features unrelated to our use case","https://github.com/CivicTechWR/affordable-housing-portal/issues/120","Yes"
"Standalone","","Foundation","flow:configure-portal","Configure fork CI secrets for Cypress map-dependent tests","https://github.com/CivicTechWR/affordable-housing-portal/issues/17","No"
